product_vendor,product_name,product_canonical,api_provider_canonical,support_scope,model_name,aa_slug,aa_release_date,model_source,notes,product_url
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova Lite,nova-lite,2024-12-03,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova Micro,nova-micro,2024-12-03,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova Pro,nova-pro,2024-12-03,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova Premier,nova-premier,2025-04-30,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Lite (Non-reasoning),nova-2-0-lite,2025-10-29,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Lite (low),nova-2-0-lite-reasoning-low,2025-10-29,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Lite (medium),nova-2-0-lite-reasoning-medium,2025-10-29,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Omni (Non-reasoning),nova-2-0-omni,2025-11-26,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Omni (low),nova-2-0-omni-reasoning-low,2025-11-26,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Omni (medium),nova-2-0-omni-reasoning-medium,2025-11-26,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Pro Preview (Non-reasoning),nova-2-0-pro,2025-11-27,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Pro Preview (low),nova-2-0-pro-reasoning-low,2025-11-27,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,amazon,own_all_models,Nova 2.0 Pro Preview (medium),nova-2-0-pro-reasoning-medium,2025-11-27,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,Claude 4.5 Sonnet (Non-reasoning),claude-4-5-sonnet,2025-09-29,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,Claude 4.5 Sonnet (Reasoning),claude-4-5-sonnet-thinking,2025-09-29,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,Claude 4.5 Haiku (Non-reasoning),claude-4-5-haiku,2025-10-15,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,Claude 4.5 Haiku (Reasoning),claude-4-5-haiku-reasoning,2025-10-15,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,Claude Opus 4.5 (Non-reasoning),claude-opus-4-5,2025-11-24,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,Claude Opus 4.5 (Reasoning),claude-opus-4-5-thinking,2025-11-24,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",claude-opus-4-6-adaptive,2026-02-05,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,2026-02-05,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",claude-sonnet-4-6-adaptive,2026-02-17,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,"Claude Sonnet 4.6 (Non-reasoning, High Effort)",claude-sonnet-4-6,2026-02-17,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,anthropic,recent_6_months_models,"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",claude-sonnet-4-6-non-reasoning-low-effort,2026-02-17,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,cohere,recent_6_months_models,Tiny Aya Global,tiny-aya-global,2026-02-17,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,deepseek,recent_6_months_models,DeepSeek V3.1 Terminus (Non-reasoning),deepseek-v3-1-terminus,2025-09-22,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,deepseek,recent_6_months_models,DeepSeek V3.1 Terminus (Reasoning),deepseek-v3-1-terminus-reasoning,2025-09-22,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
Amazon,AWS Bedrock,amazon,deepseek,recent_6_months_models,DeepSeek V3.2 Exp (Non-reasoning),deepseek-v3-2-0925,2025-09-29,aa_llm_models_processed_current,,https://docs.aws.amazon.com/bedrock/
