uid,platform,query,post_date,source_url,title,author,like_count,comment_count,collect_count,overall_score,score_quality,score_value,score_latency,score_throughput,score_stability,pros_summary,cons_summary,overall_summary,evidence,fetched_at,run_id,tag
xhs:698f17e40000000016009c10,xhs,Minimax2.5,2026/02/13,https://www.xiaohongshu.com/explore/698f17e40000000016009c10,MiniMax 家的模型确实很扎实。,小盖,279,37,221,5,5,5,5,5,0,智能水平接近 Opus 4.6 但价格便宜太多，性价比极高；多语言全栈支持强大，覆盖 Go、Java、Python 等主流语言，在真实工程场景训练；速度极快，原生 100 tokens/秒，是其他头部模型的两倍；SWE-Bench 耗时从 31 分钟降到 23 分钟，快了 37%；是首个综合能力超越 Claude Sonnet 的开放权重模型,未发现明显缺点,,用户自测 99% 场景可用 M2.5；OpenHands 测评显示 M2.5 超越 Claude Sonnet；技术报告称在超过 20 万真实环境训练，覆盖 Go、C、C++、TypeScript、Rust、Kotlin、Python、Java；M2.1 在 Java、Go 场景好过其他模型；X 上口碑非常好,2026/02/26 18:37,20260226_183544_dt7c5s,"性价比高,多语言支持,速度快,编码能力,全栈开发,开放权重,Claude替代"
xhs:698d9a60000000000b0116f3,xhs,Minimax2.5,2026/02/12,https://www.xiaohongshu.com/explore/698d9a60000000000b0116f3,真实项目实测MiniMax M2.5，速度快到离谱！,程序员阿江-Relakkes,165,19,117,4,4,4,5,4,3,编程实测速度极快，两道编程任务现场编码完成度高；Agent接入实测在速度和拆解深度上有明显提升,复杂跨项目认证迁移任务与Claude Opus 4.6和GPT-5.3-Codex对比存在差距，最终评分可能低于竞品,,「MiniMax M2.5 现场编码」「速度快到离谱」「有惊喜也有差距」「三方横向对比 - Claude / GPT / MiniMax 谁更强」「M2.1 vs M2.5 - 速度与拆解深度实测」,2026/02/26 18:38,20260226_183544_dt7c5s,"速度极快,编程实测,三方横评,Agent接入,有差距"
xhs:698efa36000000000903bc9a,xhs,Minimax2.5,2026/02/13,https://www.xiaohongshu.com/explore/698efa36000000000903bc9a,MiniMax 这次把性价比玩明白了,AI Dance,128,18,97,5,5,5,5,5,0,激活参数仅10B，私有化部署友好，推理效率高；没涨价，维持高性价比；Coding和Agent能力强，SWE-Bench Verified达80.2%；推理速度快超100 tokens/秒，成本低约1元/小时,,,MiniMax M2.5总参数230B，激活参数10B，是第一梯队中参数规模最小的旗舰模型。M2.5没有涨价，继续维持高性价比。SWE-Bench Verified拿了80.2%，推理吞吐量超100 tokens/秒，算下来成本大概1元/小时。,2026/02/26 18:38,20260226_183544_dt7c5s,"性价比,私有化部署,推理效率,低成本,Coding能力,Agent能力,RL框架"
xhs:698f5f3e000000001d0103ae,xhs,Minimax2.5,2026/02/14,https://www.xiaohongshu.com/explore/698f5f3e000000001d0103ae,在家里就能拥有贾维斯，真的实现了！,曲率实验室,55,46,75,4,4,4,0,0,0,10B激活参数最轻量级模型，世界第一梯队智能水平，可本地部署省API费，5万预算比20万的H100方案划算太多,Mac Studio + Mac Mini全套配下来也要小5万，对普通用户还是不便宜,,用M3 Ultra芯片的Mac Studio本地部署MiniMax M2.5，再加一台Mac Mini跑OpenClaw，就能拥有一个完全由你说了算的Agent助手,2026/02/26 18:38,20260226_183544_dt7c5s,"本地部署,Mac Studio,性价比,MiniMax M2.5,AI助手"
xhs:698e10fb000000001a01f328,xhs,Minimax2.5,2026/02/13,https://www.xiaohongshu.com/explore/698e10fb000000001a01f328,一上线就支持 coding plan！ 吹爆 minimax！,Kobe,81,79,32,5,4,5,5,0,0,上线就支持所有plan，49元套餐很划算，速度超快,性能可能不如竞品,,对比隔壁家又是涨价又是限速，还仅限max使用，minimax真是太良心了，m2.5一上线就支持所有plan了，49的套餐可太香了，虽然性能不一定有隔壁家强，但是这速度是真快,2026/02/26 18:39,20260226_183544_dt7c5s,"价格实惠,速度快,性价比高,支持所有plan,良心"
xhs:6991f0d3000000000a03f2cf,xhs,Minimax2.5,2026/02/16,https://www.xiaohongshu.com/explore/6991f0d3000000000a03f2cf,openclaw终于成功对接minimax（我晕）,七日绝杀,54,26,54,3,3,3,0,0,0,minimax的49元codingplan量大管饱，切换过去后终端显示正常,配置url太坑了害我搞了三个小时，终端很难排查问题，而且初步用起来感觉很陌生，即使写了soul也不对味儿,,一定一定要改成我图上的域名，也就是【minimax.io】改成【minimaxi.com】有个i啊注意⚠️而且是.com，初步体验minimax感觉很陌生，虽然我给bot写了soul，但是感觉不是那个味儿,2026/02/26 18:39,20260226_183544_dt7c5s,"配置问题,url错误,小白教程,性价比,使用体验"
xhs:698de35300000000150224bd,xhs,GLM5,2026/02/12,https://www.xiaohongshu.com/explore/698de35300000000150224bd,从Qoder定价来看Coding 模型从夯到拉,有风有风,35,34,17,5,5,0,0,0,0,GLM5真的很可以，给到人上人的体验,,用户对GLM5模型高度认可，认为其表现出色，属于顶尖水平,GLM5真的很可以，给到人上人,2026/02/26 18:57,20260226_185123_m0copg,"vibecoding,从夯到拉,qoder"
xhs:69992ad3000000000a02a1a4,xhs,GLM5,2026/02/21,https://www.xiaohongshu.com/explore/69992ad3000000000a02a1a4,GLM谁用得起谁用😭,瞌睡小漪（学习版）,6,29,1,1,3,1,0,1,2,用于代码修复和简化任务能正常工作,Token消耗太离谱，30分钟烧完5小时限额，官方显示消耗量天文数字,,智谱的5小时限额30分钟就干没了...阿里云的我用一天用不完被限流...智谱官方显示消耗tokens也是天文数字#别太离谱了,2026/02/26 18:58,20260226_185123_m0copg,"token消耗过高,性价比差,限流问题,coding任务"
xhs:698cda01000000000903b650,xhs,GLM5,2026/02/12,https://www.xiaohongshu.com/explore/698cda01000000000903b650,非常丝滑 glm-5 搭配 openclaw,Marley旺财本汪,3,16,5,5,4,4,5,0,3,非常丝滑，体验非常好，速度非常快，有潜力替换付费的 Claude Opus 4.6,目前没有明显缺点，主要担心能否一直保持这种体验,,"用户原话：""测试的 GLM-5 模型搭配了 Openclaw，非常丝滑，体验非常好""、""非常快""、""替换掉我的 claude Pro 计划里面的 Claude opus 4.6 指日可待""",2026/02/26 18:45,20260226_184350_fn897a,"丝滑,快速,性价比高,可替代Claude"
xhs:699de569000000002800afa4,xhs,GLM5,2026/02/25,https://www.xiaohongshu.com/explore/699de569000000002800afa4,火速安上了阿里coding plan的GLM5,momo,6,9,0,5,5,0,0,0,0,GLM5终于发布了，让人非常开心，模型质量满意，激动得赶紧装上,,用户对GLM5发布非常兴奋和满意，之前还吐槽过阿里不争气，结果夜里偷偷发布大招，乐得赶紧安装并卸载了qwen系列模型,前两天还骂他不争气，今天夜里这么低调地偷偷放大招，乐得我赶紧把所有第三方模型都装上，默默关闭了qwen系列模型,2026/02/26 18:46,20260226_184350_fn897a,"GLM5,阿里千问,大模型,兴奋,正面"
xhs:698e1343000000000e03e687,xhs,GLM5,2026/02/13,https://www.xiaohongshu.com/explore/698e1343000000000e03e687,GLM5一战封神，如何用他构建全自动开发系统,数字游牧人,4023,130,6381,5,0,0,0,0,0,,,用户对GLM5高度认可，称之为「一战封神」，并积极探讨如何利用它构建全自动开发系统，表达了对该AI编程工具的强烈期待和赞赏。,标题直接使用「一战封神」这一极高评价用语，表达对GLM5能力的极度认可；正文探讨「如何用他构建全自动开发系统」，表明用户认为GLM5具备构建自动化开发体系的强大能力。,2026/02/26 18:55,20260226_185123_m0copg,"AI编程,开发工具,自动化开发,技术讨论"
xhs:698d85d0000000000c034517,xhs,GLM5,2026/02/12,https://www.xiaohongshu.com/explore/698d85d0000000000c034517,智谱4000每年的套餐都卖完了？！,一只小茄墩,707,85,212,5,4,5,0,5,0,Coding和Agent表现非常好；用量是Claude Pro的3-5倍，性价比超高；一发布就卖断货，连3939元的年套餐都没抢到,抢购太火爆，根本抢不到,,Coding直接卖断货，连3939元一年的Max套餐都没抢到；智谱的Coding Plan用量直接给到Claude Pro的3-5倍；二手市场里大家都开始拼好模了,2026/02/26 18:56,20260226_185123_m0copg,"国产大模型,coding,高性价比,抢不到,sold out"
