record_date,merge_key,match_confidence,has_aa,has_or,aa_name,aa_slug,or_name,or_id,or_canonical_slug,aa_idx,or_idx,match_score,match_key,match_reason,aa_primary_key,aa_id,aa_release_date,aa_median_output_tokens_per_second,aa_median_time_to_first_token_seconds,aa_median_time_to_first_answer_token,aa_source_endpoint,aa_model_creator_id,aa_model_creator_name,aa_model_creator_slug,aa_evaluations_artificial_analysis_intelligence_index,aa_evaluations_artificial_analysis_coding_index,aa_evaluations_artificial_analysis_math_index,aa_evaluations_mmlu_pro,aa_evaluations_gpqa,aa_evaluations_hle,aa_evaluations_livecodebench,aa_evaluations_scicode,aa_evaluations_math_500,aa_evaluations_aime,aa_evaluations_aime_25,aa_evaluations_ifbench,aa_evaluations_lcr,aa_evaluations_terminalbench_hard,aa_evaluations_tau2,aa_pricing_price_1m_blended_3_to_1,aa_pricing_price_1m_input_tokens,aa_pricing_price_1m_output_tokens,aa_elo,aa_rank,aa_ci95,aa_appearances,aa_aliases,aa_core_key,or_primary_key,or_hugging_face_id,or_created,or_description,or_context_length,or_per_request_limits,or_supported_parameters,or_expiration_date,or_architecture_modality,or_architecture_input_modalities,or_architecture_output_modalities,or_architecture_tokenizer,or_architecture_instruct_type,or_pricing_prompt,or_pricing_completion,or_pricing_image,or_pricing_audio,or_pricing_internal_reasoning,or_pricing_input_cache_read,or_pricing_input_cache_write,or_top_provider_context_length,or_top_provider_max_completion_tokens,or_top_provider_is_moderated,or_default_parameters_temperature,or_default_parameters_top_p,or_default_parameters_frequency_penalty,or_pricing_web_search,or_pricing_request,or_default_parameters,or_aliases,or_core_key
2026-02-23,claude-35-haiku,high,True,True,Claude 3.5 Haiku,claude-3-5-haiku,Anthropic: Claude 3.5 Haiku,anthropic/claude-3.5-haiku,anthropic/claude-3-5-haiku,21.0,20.0,11,claude-35-haiku,core_name_exact,claude-3-5-haiku,033e4aa9-a556-4224-87b0-341ed1070257,2024-10-22,0.0,0.0,0.0,llms/models,f0aa413f-e8ae-4fcd-9c48-0e049f4f3128,Anthropic,anthropic,18.7,10.7,,0.634,0.408,0.035,0.314,0.274,0.721,0.033,,0.428,0.233,0.023,0.246,1.6,0.8,4.0,,,,,033e4aa9-a556-4224-87b0-341ed1070257|033e4aa9-a556-87b0-341ed1070257|claude-3-5-haiku|claude-35-haiku,claude-35-haiku,anthropic/claude-3-5-haiku,,1730678400.0,"Claude 3.5 Haiku features offers enhanced capabilities in speed, coding accuracy, and tool use. Engineered to excel in real-time applications, it delivers quick response times that are essential for dynamic tasks such as chat interactions and immediate coding suggestions.

This makes it highly suitable for environments that demand both speed and precision, such as software development, customer service bots, and data management systems.

This model is currently pointing to [Claude 3.5 Haiku (2024-10-22)](/anthropic/claude-3-5-haiku-20241022).",200000.0,,"[""max_tokens"",""stop"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p""]",,text+image->text,"[""text"",""image""]","[""text""]",Claude,,0.0000008,0.000004,,,,0.00000008,0.000001,200000.0,8192.0,True,,,,0.01,,,anthropic-claude-35-haiku|anthropic/claude-3-5-haiku|anthropic/claude-35-haiku|claude-35-haiku,claude-35-haiku
2026-02-23,claude-37-sonnet,medium,True,True,Claude 3.7 Sonnet (Non-reasoning),claude-3-7-sonnet,Anthropic: Claude 3.7 Sonnet,anthropic/claude-3.7-sonnet,anthropic/claude-3-7-sonnet-20250219,22.0,21.0,9,claude-37-sonnet,core_name_exact,claude-3-7-sonnet,d925845d-39ad-4de3-8495-f176b79828c0,2025-02-24,0.0,0.0,0.0,llms/models,f0aa413f-e8ae-4fcd-9c48-0e049f4f3128,Anthropic,anthropic,30.8,26.7,21.0,0.803,0.656,0.048,0.394,0.376,0.85,0.223,0.21,0.44,0.483,0.212,0.5,6.0,3.0,15.0,,,,,claude-3-7-sonnet|claude-37-sonnet|claude-37-sonnet-non-reasoning|d925845d-39ad-4de3-8495-f176b79828c0|d925845d-39ad-4de3-f176b79828c0,claude-37-sonnet,anthropic/claude-3-7-sonnet-20250219,,1740422110.0,"Claude 3.7 Sonnet is an advanced large language model with improved reasoning, coding, and problem-solving capabilities. It introduces a hybrid reasoning approach, allowing users to choose between rapid responses and extended, step-by-step processing for complex tasks. The model demonstrates notable improvements in coding, particularly in front-end development and full-stack updates, and excels in agentic workflows, where it can autonomously navigate multi-step processes. 

Claude 3.7 Sonnet maintains performance parity with its predecessor in standard mode while offering an extended reasoning mode for enhanced accuracy in math, coding, and instruction-following tasks.

Read more at the [blog post here](https://www.anthropic.com/news/claude-3-7-sonnet)",200000.0,,"[""include_reasoning"",""max_tokens"",""reasoning"",""stop"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p""]",2026-05-05,text+image+file->text,"[""text"",""image"",""file""]","[""text""]",Claude,,0.000003,0.000015,,,,0.0000003,0.00000375,200000.0,64000.0,False,,,,0.01,,,anthropic-claude-37-sonnet|anthropic/claude-3-7-sonnet|anthropic/claude-3-7-sonnet-20250219|anthropic/claude-37-sonnet|claude-37-sonnet,claude-37-sonnet
2026-02-23,claude-3-haiku,high,True,True,Claude 3 Haiku,claude-3-haiku,Anthropic: Claude 3 Haiku,anthropic/claude-3-haiku,anthropic/claude-3-haiku,24.0,22.0,11,claude-3-haiku,core_name_exact,claude-3-haiku,1fc54cef-d179-48b1-a27d-046874e9b208,2024-03-04,118.644,0.414,0.414,llms/models,f0aa413f-e8ae-4fcd-9c48-0e049f4f3128,Anthropic,anthropic,12.1,6.7,,,0.374,0.039,0.154,0.186,0.394,0.01,,0.361,0.21,0.008,0.211,0.5,0.25,1.25,,,,,1fc54cef-d179-48b1-a27d-046874e9b208|claude-3-haiku,claude-3-haiku,anthropic/claude-3-haiku,,1710288000.0,"Claude 3 Haiku is Anthropic's fastest and most compact model for
near-instant responsiveness. Quick and accurate targeted performance.

See the launch announcement and benchmark results [here](https://www.anthropic.com/news/claude-3-haiku)

#multimodal",200000.0,,"[""max_tokens"",""stop"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p""]",,text+image->text,"[""text"",""image""]","[""text""]",Claude,,0.00000025,0.00000125,,,,0.00000003,0.0000003,200000.0,4096.0,True,,,,,,,anthropic-claude-3-haiku|anthropic/claude-3-haiku|claude-3-haiku,claude-3-haiku
2026-02-23,claude-35-sonnet,medium,True,True,Claude 3.5 Sonnet (Oct '24),claude-35-sonnet,Anthropic: Claude 3.5 Sonnet,anthropic/claude-3.5-sonnet,anthropic/claude-3.5-sonnet,27.0,23.0,9,claude-35-sonnet,core_name_exact,claude-35-sonnet,0a603978-03b9-4f47-a273-2f7fd969be85,2024-10-22,0.0,0.0,0.0,llms/models,f0aa413f-e8ae-4fcd-9c48-0e049f4f3128,Anthropic,anthropic,15.9,30.2,,0.772,0.599,0.039,0.381,0.366,0.771,0.157,,,,,,6.0,3.0,15.0,,,,,0a603978-03b9-4f47-a273-2f7fd969be85|claude-35-sonnet|claude-35-sonnet-oct-24,claude-35-sonnet,anthropic/claude-35-sonnet,,1729555200.0,"New Claude 3.5 Sonnet delivers better-than-Opus capabilities, faster-than-Sonnet speeds, at the same Sonnet prices. Sonnet is particularly good at:

- Coding: Scores ~49% on SWE-Bench Verified, higher than the last best score, and without any fancy prompt scaffolding
- Data science: Augments human data science expertise; navigates unstructured data while using multiple tools for insights
- Visual processing: excelling at interpreting charts, graphs, and images, accurately transcribing text to derive insights beyond just the text alone
- Agentic tasks: exceptional tool use, making it great at agentic tasks (i.e. complex, multi-step problem solving tasks that require engaging with other systems)

#multimodal",200000.0,,"[""max_tokens"",""stop"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p""]",,text+image+file->text,"[""text"",""image"",""file""]","[""text""]",Claude,,0.000006,0.00003,,,,0.0000006,0.0000075,200000.0,8192.0,True,,,,,,,anthropic-claude-35-sonnet|anthropic/claude-35-sonnet|claude-35-sonnet,claude-35-sonnet
2026-02-23,claude-opus-45,medium,True,True,Claude Opus 4.5 (Non-reasoning),claude-opus-4-5,Anthropic: Claude Opus 4.5,anthropic/claude-opus-4.5,anthropic/claude-4.5-opus-20251124,40.0,28.0,9,claude-opus-45,core_name_exact,claude-opus-4-5,4077490a-bbfb-404e-979a-a97a20e3b5de,2025-11-24,62.885,0.951,0.951,llms/models,f0aa413f-e8ae-4fcd-9c48-0e049f4f3128,Anthropic,anthropic,43.0,42.9,62.7,0.889,0.81,0.129,0.738,0.47,,,0.627,0.43,0.653,0.409,0.863,10.0,5.0,25.0,,,,,4077490a-bbfb-404e-979a-a97a20e3b5de|claude-opus-4-5|claude-opus-45|claude-opus-45-non-reasoning,claude-opus-45,anthropic/claude-45-opus-20251124,,1764010580.0,"Claude Opus 4.5 is Anthropic’s frontier reasoning model optimized for complex software engineering, agentic workflows, and long-horizon computer use. It offers strong multimodal capabilities, competitive performance across real-world coding and reasoning benchmarks, and improved robustness to prompt injection. The model is designed to operate efficiently across varied effort levels, enabling developers to trade off speed, depth, and token usage depending on task requirements. It comes with a new parameter to control token efficiency, which can be accessed using the OpenRouter Verbosity parameter with low, medium, or high.

Opus 4.5 supports advanced tool use, extended context management, and coordinated multi-agent setups, making it well-suited for autonomous research, debugging, multi-step planning, and spreadsheet/browser manipulation. It delivers substantial gains in structured reasoning, execution reliability, and alignment compared to prior Opus generations, while reducing token overhead and improving performance on long-running tasks.",200000.0,,"[""include_reasoning"",""max_tokens"",""reasoning"",""response_format"",""stop"",""structured_outputs"",""temperature"",""tool_choice"",""tools"",""top_k"",""verbosity""]",,text+image+file->text,"[""file"",""image"",""text""]","[""text""]",Claude,,0.000005,0.000025,,,,0.0000005,0.00000625,200000.0,64000.0,True,,,,0.01,,,anthropic-claude-opus-45|anthropic/claude-45-opus|anthropic/claude-45-opus-20251124|anthropic/claude-opus-45|claude-opus-45,claude-opus-45
2026-02-23,claude-opus-46,medium,True,True,"Claude Opus 4.6 (Non-reasoning, High Effort)",claude-opus-4-6,Anthropic: Claude Opus 4.6,anthropic/claude-opus-4.6,anthropic/claude-4.6-opus-20260205,42.0,30.0,9,claude-opus-46,core_name_exact,claude-opus-4-6,4386585e-71b4-4a0c-8a63-afb333419cd6,2026-02-05,66.54,1.519,1.519,llms/models,f0aa413f-e8ae-4fcd-9c48-0e049f4f3128,Anthropic,anthropic,46.4,47.6,,,0.84,0.186,,0.457,,,,0.446,0.583,0.485,0.848,10.0,5.0,25.0,,,,,4386585e-71b4-4a0c-8a63-afb333419cd6|claude-opus-4-6|claude-opus-46|claude-opus-46-non-reasoning-high-effort,claude-opus-46,anthropic/claude-46-opus-20260205,,1770219050.0,"Opus 4.6 is Anthropic’s strongest model for coding and long-running professional tasks. It is built for agents that operate across entire workflows rather than single prompts, making it especially effective for large codebases, complex refactors, and multi-step debugging that unfolds over time. The model shows deeper contextual understanding, stronger problem decomposition, and greater reliability on hard engineering tasks than prior generations.

Beyond coding, Opus 4.6 excels at sustained knowledge work. It produces near-production-ready documents, plans, and analyses in a single pass, and maintains coherence across very long outputs and extended sessions. This makes it a strong default for tasks that require persistence, judgment, and follow-through, such as technical design, migration planning, and end-to-end project execution.

For users upgrading from earlier Opus versions, see our [official migration guide here](https://openrouter.ai/docs/guides/guides/model-migrations/claude-4-6-opus)
",1000000.0,,"[""include_reasoning"",""max_tokens"",""reasoning"",""response_format"",""stop"",""structured_outputs"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p"",""verbosity""]",,text+image->text,"[""text"",""image""]","[""text""]",Claude,,0.000005,0.000025,,,,0.0000005,0.00000625,1000000.0,128000.0,True,,,,0.01,,,anthropic-claude-opus-46|anthropic/claude-46-opus|anthropic/claude-46-opus-20260205|anthropic/claude-opus-46|claude-opus-46,claude-opus-46
2026-02-23,claude-sonnet-46,medium,True,True,"Claude Sonnet 4.6 (Non-reasoning, High Effort)",claude-sonnet-4-6,Anthropic: Claude Sonnet 4.6,anthropic/claude-sonnet-4.6,anthropic/claude-4.6-sonnet-20260217,44.0,31.0,9,claude-sonnet-46,core_name_exact,claude-sonnet-4-6,2e40e695-3cec-43da-83f9-615af30b8e91,2026-02-17,55.081,0.745,0.745,llms/models,f0aa413f-e8ae-4fcd-9c48-0e049f4f3128,Anthropic,anthropic,44.3,46.4,,,0.799,0.132,,0.469,,,,0.412,0.577,0.462,0.795,6.0,3.0,15.0,,,,,2e40e695-3cec-43da-83f9-615af30b8e91|claude-sonnet-4-6|claude-sonnet-46|claude-sonnet-46-non-reasoning-high-effort,claude-sonnet-46,anthropic/claude-46-sonnet-20260217,,1771342990.0,"Sonnet 4.6 is Anthropic's most capable Sonnet-class model yet, with frontier performance across coding, agents, and professional work. It excels at iterative development, complex codebase navigation, end-to-end project management with memory, polished document creation, and confident computer use for web QA and workflow automation.",1000000.0,,"[""include_reasoning"",""max_tokens"",""reasoning"",""response_format"",""stop"",""structured_outputs"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p"",""verbosity""]",,text+image->text,"[""text"",""image""]","[""text""]",Claude,,0.000003,0.000015,,,,0.0000003,0.00000375,1000000.0,128000.0,True,,,,0.01,,,anthropic-claude-sonnet-46|anthropic/claude-46-sonnet|anthropic/claude-46-sonnet-20260217|anthropic/claude-sonnet-46|claude-sonnet-46,claude-sonnet-46
2026-02-23,command-a,high,True,True,Command A,command-a,Cohere: Command A,cohere/command-a,cohere/command-a-03-2025,48.0,46.0,11,command-a,core_name_exact,command-a,3bc32f13-5afa-4e28-bce1-10e57376686b,2025-03-13,51.032,0.316,0.316,llms/models,671d3708-c407-4b8f-b350-f728e4689d26,Cohere,cohere,13.4,9.9,13.0,0.712,0.527,0.046,0.287,0.281,0.819,0.097,0.13,0.365,0.18,0.008,0.152,4.375,2.5,10.0,,,,,3bc32f13-5afa-4e28-bce1-10e57376686b|command-a,command-a,cohere/command-a-03-2025,CohereForAI/c4ai-command-a-03-2025,1741894342.0,"Command A is an open-weights 111B parameter model with a 256k context window focused on delivering great performance across agentic, multilingual, and coding use cases.
Compared to other leading proprietary and open-weights models Command A delivers maximum performance with minimum hardware costs, excelling on business-critical agentic and multilingual tasks.",256000.0,,"[""frequency_penalty"",""max_tokens"",""presence_penalty"",""response_format"",""seed"",""stop"",""structured_outputs"",""temperature"",""top_k"",""top_p""]",,text->text,"[""text""]","[""text""]",Other,,0.0000025,0.00001,,,,,,256000.0,8192.0,True,,,,,,,cohere-command-a|cohere/command-a|cohere/command-a-03|cohere/command-a-03-2025|command-a,command-a
2026-02-23,command-r,medium,True,True,Command-R (Mar '24),command-r-03-2024,Cohere: Command R+ (08-2024),cohere/command-r-plus-08-2024,cohere/command-r-plus-08-2024,49.0,48.0,9,command-r,core_name_exact,command-r-03-2024,abe9f0c7-f4f6-430d-ba42-f45afdd4841b,2024-03-12,0.0,0.0,0.0,llms/models,671d3708-c407-4b8f-b350-f728e4689d26,Cohere,cohere,7.4,,,0.338,0.284,0.048,0.048,0.062,0.164,0.007,,,,,,0.75,0.5,1.5,,,,,abe9f0c7-f4f6-430d-ba42-f45afdd4841b|command-r|command-r-03|command-r-03-2024|command-r-mar-24,command-r,cohere/command-r-plus-08-2024,,1724976000.0,"command-r-plus-08-2024 is an update of the [Command R+](/models/cohere/command-r-plus) with roughly 50% higher throughput and 25% lower latencies as compared to the previous Command R+ version, while keeping the hardware footprint the same.

Read the launch post [here](https://docs.cohere.com/changelog/command-gets-refreshed).

Use of this model is subject to Cohere's [Usage Policy](https://docs.cohere.com/docs/usage-policy) and [SaaS Agreement](https://cohere.com/saas-agreement).",128000.0,,"[""frequency_penalty"",""max_tokens"",""presence_penalty"",""response_format"",""seed"",""stop"",""structured_outputs"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p""]",,text->text,"[""text""]","[""text""]",Cohere,,0.0000025,0.00001,,,,,,128000.0,4000.0,True,,,,,,,cohere-command-r-08-2024|cohere/command-r-plus-08|cohere/command-r-plus-08-2024|command-r|command-r-08-2024|command-r-plus-08|command-r-plus-08-2024,command-r
2026-02-23,command-r,medium,True,True,Command-R+ (Apr '24),command-r-plus-04-2024,Cohere: Command R (08-2024),cohere/command-r-08-2024,cohere/command-r-08-2024,50.0,47.0,9,command-r,core_name_exact,command-r-plus-04-2024,76361085-f5dc-49ec-b069-fe56ca885933,2024-04-04,0.0,0.0,0.0,llms/models,671d3708-c407-4b8f-b350-f728e4689d26,Cohere,cohere,8.3,,,0.432,0.323,0.045,0.122,0.118,0.279,0.007,,,,,,6.0,3.0,15.0,,,,,76361085-f5dc-49ec-b069-fe56ca885933|command-r|command-r-apr-24|command-r-plus-04|command-r-plus-04-2024|f5dc-49ec-b069-fe56ca885933,command-r,cohere/command-r-08-2024,,1724976000.0,"command-r-08-2024 is an update of the [Command R](/models/cohere/command-r) with improved performance for multilingual retrieval-augmented generation (RAG) and tool use. More broadly, it is better at math, code and reasoning and is competitive with the previous version of the larger Command R+ model.

Read the launch post [here](https://docs.cohere.com/changelog/command-gets-refreshed).

Use of this model is subject to Cohere's [Usage Policy](https://docs.cohere.com/docs/usage-policy) and [SaaS Agreement](https://cohere.com/saas-agreement).",128000.0,,"[""frequency_penalty"",""max_tokens"",""presence_penalty"",""response_format"",""seed"",""stop"",""structured_outputs"",""temperature"",""tool_choice"",""tools"",""top_k"",""top_p""]",,text->text,"[""text""]","[""text""]",Cohere,,0.00000015,0.0000006,,,,,,128000.0,4000.0,True,,,,,,,cohere-command-r-08-2024|cohere/command-r-08|cohere/command-r-08-2024|command-r|command-r-08|command-r-08-2024,command-r
