modality,series_slug,series_name,model_name,model_slug,snapshot_aa_slug,model_creator_name
image_editing,bagel,Bagel,Bagel,bagel,image_editing::bagel,Bytedance
image_editing,eigen-image,Eigen Image,Eigen Image,eigenai_eigen-image,image_editing::eigenai_eigen-image,Eigen AI
image_editing,fibo-edit,FIBO Edit,FIBO Edit,bria_fibo-edit,image_editing::bria_fibo-edit,Bria
image_editing,firefly-image-5,Firefly Image 5,Firefly Image 5 Preview,adobe-firefly_firefly-image-5--preview,image_editing::adobe-firefly_firefly-image-5--preview,Adobe
image_editing,flux.1-kontext-dev,FLUX.1 Kontext [dev],FLUX.1 Kontext [dev],flux-1-kontext-dev,image_editing::flux-1-kontext-dev,Black Forest Labs
image_editing,flux.1-kontext-max,FLUX.1 Kontext [max],FLUX.1 Kontext [max],flux-1-kontext-max,image_editing::flux-1-kontext-max,Black Forest Labs
image_editing,flux.1-kontext-pro,FLUX.1 Kontext [pro],FLUX.1 Kontext [pro],flux-1-kontext-pro,image_editing::flux-1-kontext-pro,Black Forest Labs
image_editing,flux.2-dev,FLUX.2 [dev],FLUX.2 [dev],flux_flux-2--dev,image_editing::flux_flux-2--dev,Black Forest Labs
image_editing,flux.2-dev-flash,FLUX.2 [dev] Flash,FLUX.2 [dev] Flash,fal_flux-2-dev-flash,image_editing::fal_flux-2-dev-flash,Fal
image_editing,flux.2-dev-turbo,FLUX.2 [dev] Turbo,FLUX.2 [dev] Turbo,fal_flux-2-dev-turbo,image_editing::fal_flux-2-dev-turbo,Fal
image_editing,flux.2-flex,FLUX.2 [flex],FLUX.2 [flex],flux_flux-2--flex,image_editing::flux_flux-2--flex,Black Forest Labs
image_editing,flux.2-klein,FLUX.2 [klein],FLUX.2 [klein] 4B,flux_flux-2-klein-4b,image_editing::flux_flux-2-klein-4b,Black Forest Labs
image_editing,flux.2-klein,FLUX.2 [klein],FLUX.2 [klein] 9B,flux_flux-2-klein-9b,image_editing::flux_flux-2-klein-9b,Black Forest Labs
image_editing,flux.2-klein-base,FLUX.2 [klein] Base,FLUX.2 [klein] Base 4B,flux_flux-2-klein-base-4b,image_editing::flux_flux-2-klein-base-4b,Black Forest Labs
image_editing,flux.2-klein-base,FLUX.2 [klein] Base,FLUX.2 [klein] Base 9B,flux_flux-2-klein-base-9b,image_editing::flux_flux-2-klein-base-9b,Black Forest Labs
image_editing,flux.2-max,FLUX.2 [max],FLUX.2 [max],black_forest_labs_flux-2-max,image_editing::black_forest_labs_flux-2-max,Black Forest Labs
image_editing,flux.2-pro,FLUX.2 [pro],FLUX.2 [pro],flux_flux-2--pro,image_editing::flux_flux-2--pro,Black Forest Labs
image_editing,gemini-2.0,Gemini 2.0,Gemini 2.0 Flash Preview,gemini-2-0-flash-preview,image_editing::gemini-2-0-flash-preview,Google
image_editing,gemini-2.5,Gemini 2.5,Nano Banana (Gemini 2.5 Flash Image),google_gemini-2-5-flash,image_editing::google_gemini-2-5-flash,Google
image_editing,gemini-3,Gemini 3,Nano Banana Pro (Gemini 3 Pro Image),gemini_nano-banana-pro,image_editing::gemini_nano-banana-pro,Google
image_editing,glm,GLM,GLM-Image,glm_glm-image,image_editing::glm_glm-image,Z AI
image_editing,gpt-1,GPT 1,GPT Image 1 (high),openai-gpt_gpt-image-1--high,image_editing::openai-gpt_gpt-image-1--high,OpenAI
image_editing,gpt-1,GPT 1,GPT Image 1 Mini (medium),openai-gpt_gpt-image-1-mini--medium,image_editing::openai-gpt_gpt-image-1-mini--medium,OpenAI
image_editing,gpt-1.5,GPT 1.5,GPT Image 1.5 (high),openai-gpt_image-1-5,image_editing::openai-gpt_image-1-5,OpenAI
image_editing,grok,Grok,grok-imagine-image,grok-imagine-image,image_editing::grok-imagine-image,xAI
