slug,display_name,variant_count,snapshots,csv_query_aliases
apriel-v1.5-15b-thinker,Apriel v1.5 15B Thinker,1,apriel-v1-5-15b-thinker,
apriel-v1.6-15b-thinker,Apriel v1.6 15B Thinker,1,apriel-v1-6-15b-thinker,
arctic,Arctic,1,arctic-instruct,
claude,Claude,1,claude-instant,
claude-2.0,Claude 2.0,1,claude-2,
claude-2.1,Claude 2.1,1,claude-21,
claude-3-haiku,Claude 3 Haiku,1,claude-3-haiku,
claude-3-opus,Claude 3 Opus,1,claude-3-opus,
claude-3-sonnet,Claude 3 Sonnet,1,claude-3-sonnet,
claude-3.5-haiku,Claude 3.5 Haiku,1,claude-3-5-haiku,
claude-3.5-sonnet,Claude 3.5 Sonnet,2,claude-35-sonnet | claude-35-sonnet-june-24,
claude-3.7-sonnet,Claude 3.7 Sonnet,2,claude-3-7-sonnet | claude-3-7-sonnet-thinking,
claude-4-opus,Claude 4 Opus,2,claude-4-opus | claude-4-opus-thinking,
claude-4-sonnet,Claude 4 Sonnet,2,claude-4-sonnet | claude-4-sonnet-thinking,
claude-4.1-opus,Claude 4.1 Opus,2,claude-4-1-opus | claude-4-1-opus-thinking,
claude-4.5-haiku,Claude 4.5 Haiku,2,claude-4-5-haiku | claude-4-5-haiku-reasoning,
claude-4.5-opus,Claude 4.5 Opus,2,claude-opus-4-5 | claude-opus-4-5-thinking,
claude-4.5-sonnet,Claude 4.5 Sonnet,2,claude-4-5-sonnet | claude-4-5-sonnet-thinking,
claude-4.6-opus,Claude 4.6 Opus,2,claude-opus-4-6 | claude-opus-4-6-adaptive,
claude-4.6-sonnet,Claude 4.6 Sonnet,3,claude-sonnet-4-6 | claude-sonnet-4-6-adaptive | claude-sonnet-4-6-non-reasoning-low-effort,
cogito-v2.1,Cogito v2.1,1,cogito-v2-1-reasoning,
command-a,Command A,1,command-a,
command-r,Command R,2,command-r-03-2024 | command-r-plus-04-2024,
dbrx,DBRX,1,dbrx,
deepseek-r1,DeepSeek R1,8,deepseek-r1 | deepseek-r1-0120 | deepseek-r1-distill-llama-70b | deepseek-r1-distill-llama-8b | deepseek-r1-distill-qwen-1-5b | deepseek-r1-distill-qwen-14b | deepseek-r1-distill-qwen-32b | deepseek-r1-qwen3-8b,
deepseek-v1,DeepSeek V1,1,deepseek-llm-67b-chat,
deepseek-v2,DeepSeek V2,3,deepseek-coder-v2 | deepseek-coder-v2-lite | deepseek-v2,
deepseek-v2.5,DeepSeek V2.5,2,deepseek-v2-5 | deepseek-v2-5-sep-2024,
deepseek-v3,DeepSeek V3,2,deepseek-v3 | deepseek-v3-0324,
deepseek-v3.1,DeepSeek V3.1,4,deepseek-v3-1 | deepseek-v3-1-reasoning | deepseek-v3-1-terminus | deepseek-v3-1-terminus-reasoning,
deepseek-v3.2,DeepSeek V3.2,5,deepseek-v3-2 | deepseek-v3-2-0925 | deepseek-v3-2-reasoning | deepseek-v3-2-reasoning-0925 | deepseek-v3-2-speciale,
devstral,Devstral,3,devstral-medium | devstral-small | devstral-small-2505,
devstral-2,Devstral 2,2,devstral-2 | devstral-small-2,
doubao,Doubao,1,doubao-seed-code,
doubao-2.0,Doubao 2.0,1,doubao-seed-2-0-lite,
ernie-4.5,ERNIE 4.5,1,ernie-4-5-300b-a47b,
ernie-5.0,ERNIE 5.0,1,ernie-5-0-thinking-preview,
exaone,EXAONE,2,k-exaone | k-exaone-non-reasoning,
exaone-4.0,EXAONE 4.0,4,exaone-4-0-1-2b | exaone-4-0-1-2b-reasoning | exaone-4-0-32b | exaone-4-0-32b-reasoning,
falcon-h1r-7b,Falcon H1R 7B,1,falcon-h1r-7b,
gemini-1.0,Gemini 1.0,2,gemini-1-0-pro | gemini-1-0-ultra,
gemini-1.5,Gemini 1.5,5,gemini-1-5-flash | gemini-1-5-flash-8b | gemini-1-5-flash-may-2024 | gemini-1-5-pro | gemini-1-5-pro-may-2024,
gemini-2.0,Gemini 2.0,7,gemini-2-0-flash | gemini-2-0-flash-experimental | gemini-2-0-flash-lite-001 | gemini-2-0-flash-lite-preview | gemini-2-0-flash-thinking-exp-0121 | gemini-2-0-flash-thinking-exp-1219 | gemini-2-0-pro-experimental-02-05,
gemini-2.5,Gemini 2.5,13,gemini-2-5-flash | gemini-2-5-flash-04-2025 | gemini-2-5-flash-lite | gemini-2-5-flash-lite-preview-09-2025 | gemini-2-5-flash-lite-preview-09-2025-reasoning | gemini-2-5-flash-lite-reasoning | gemini-2-5-flash-preview-09-2025 | gemini-2-5-flash-preview-09-2025-reasoning | gemini-2-5-flash-reasoning | gemini-2-5-flash-reasoning-04-2025 | gemini-2-5-pro | gemini-2-5-pro-03-25 | gemini-2-5-pro-05-06,
gemini-3,Gemini 3,4,gemini-3-flash | gemini-3-flash-reasoning | gemini-3-pro | gemini-3-pro-low,
gemini-3.1,Gemini 3.1,1,gemini-3-1-pro-preview,Gemini 3.1
gemma-3,Gemma 3,5,gemma-3-12b | gemma-3-1b | gemma-3-270m | gemma-3-27b | gemma-3-4b,
gemma-3n,Gemma 3n,3,gemma-3n-e2b | gemma-3n-e4b | gemma-3n-e4b-preview-0520,
glm-4.5,GLM 4.5,4,glm-4-5-air | glm-4-5v | glm-4-5v-reasoning | glm-4.5,
glm-4.6,GLM 4.6,4,glm-4-6 | glm-4-6-reasoning | glm-4-6v | glm-4-6v-reasoning,
glm-4.7,GLM 4.7,4,glm-4-7 | glm-4-7-flash | glm-4-7-flash-non-reasoning | glm-4-7-non-reasoning,
glm-5,GLM 5,2,glm-5 | glm-5-non-reasoning,
gpt,GPT,11,gpt-4o | gpt-4o-2024-05-13 | gpt-4o-2024-08-06 | gpt-4o-chatgpt | gpt-4o-mini | gpt-4o-mini-realtime-dec-2024 | gpt-4o-realtime-dec-2024 | gpt-oss-120b | gpt-oss-120b-low | gpt-oss-20b | gpt-oss-20b-low,
gpt-2025,GPT 2025,1,gpt-4o-chatgpt-03-25,
